instance_id,event_id,is_cc,nu_pdg,nu_flavour,nu_energy_truth,nu_dir_truth_x,nu_dir_truth_y,nu_dir_truth_z,zenith_truth_deg,L_truth_km,nu_energy_reco,nu_dir_reco_x,nu_dir_reco_y,nu_dir_reco_z,zenith_reco_deg,L_reco_km,n_primaries,n_total_particles,n_primary_leptons,n_primary_protons,n_primary_pions,n_primary_photons,n_primary_other,leading_lepton_pdg,leading_lepton_energy,n_points_raw,n_points_filtered,direction_recon_ok,is_ccqe_topology,is_ccqe_reconstructed,n_hits,n_hits_w,n_hits_v,n_hits_u,total_adc,mean_adc,max_adc,drift_range,drift_std,channel_range_w,channel_range_v,channel_range_u,hit_density
0,0,True,12,nue,1.015237808227539,0.892785711527761,0.22571912460685217,-0.3898519591826954,103.0451688692954,2946.8563589422565,0.7093954104632314,0.9884064313046272,-0.12008236724004673,-0.0929136783992416,83.1031437512293,127.0342713100465,2,4,1,1,0,0,0,11.0,0.6806228160858154,96,68,True,True,True,102,34,45,23,39874.3984375,390.92547607421875,3613.386474609375,84.57830810546875,7.05544900894165,14.848999977111816,20.068099975585938,5.133697509765625,1.205982979380558
1,1,True,12,nue,0.476506769657135,-0.7751400166597839,-0.6132621556556419,0.15187983083103918,52.17424632648133,26.84787965423675,0.5954506386502542,-0.7391585504756402,-0.6704522292938089,0.06433075076285397,47.89802232510819,24.57144056310335,3,4,1,2,0,0,0,11.0,0.3209570050239563,596,456,False,False,False,501,137,181,183,112285.453125,224.12266540527344,1790.3016357421875,120.873046875,28.139183044433594,113.1190185546875,92.873291015625,119.15811157226562,4.144844636191769
2,2,False,-16,nutau,3.7157363891601562,-0.01650526969474638,0.9862350559021317,-0.16452352592265598,170.48246926126006,12580.37806117192,67.470079001347,0.005630305581233118,0.9999838222396877,0.0008092700206391579,179.67409020426413,12755.294177759024,125,128,0,7,0,111,7,,,2920,2613,False,False,False,1689,496,586,607,378186.625,223.91156005859375,3386.241943359375,385.1064453125,57.69786071777344,1068.948974609375,806.198974609375,1211.134765625,4.385800395081514
3,3,True,12,nue,0.8216918110847473,-0.3429814857593033,0.6398941007524059,-0.6876766974739006,129.78392331285704,8177.348601169442,0.5266767514078543,-0.39549424860112903,0.1800590262851652,-0.9006459051018144,100.37319793741695,2382.1240718610215,7,31,1,2,0,4,0,11.0,0.6546682715415955,1315,1123,True,False,False,847,236,270,341,199139.96875,235.11212158203125,2360.91650390625,164.42247009277344,38.9915885925293,55.563995361328125,76.07211303710938,67.67150115966797,5.151364041192729
4,4,False,16,nutau,1.0864750146865845,-0.28423400865473847,0.29072033009865317,0.9136151914188974,106.90108605055124,3759.4691228945276,0.9681392364792073,0.0008849349120403419,-0.999994802121408,0.0031004226110948273,0.1847357227526594,16.500085543842033,8,30,0,2,1,4,1,,,290,227,False,False,False,221,72,81,68,35338.3984375,159.90225219726562,982.1484985351562,217.994140625,72.03471374511719,472.4440002441406,559.722900390625,286.23675537109375,1.013788716368165
5,5,False,-14,numu,1.4309773445129395,0.7959129047739449,-0.43534855047028487,-0.42070689038536446,64.19252524255535,37.693566352719245,0.0023269306402653456,-0.1991749638570437,-0.22501462076594922,-0.9537807684232795,76.9962620822761,71.63341342866784,1,2,0,0,0,1,0,,,327,263,True,False,False,303,88,90,125,79263.1953125,261.5946960449219,2577.788330078125,248.11810302734375,45.42369079589844,145.13699340820312,135.8096923828125,133.94290161132812,1.2211926348905224
6,6,False,14,numu,0.6555249094963074,0.4771702177614257,-0.5611883116192552,-0.6762959871117404,55.86198269483392,29.319730218990117,0.20443184229016462,0.0,1.0,-5.55012891261287e-16,180.0,12755.5,2,3,0,1,0,1,0,,,27,18,False,False,False,19,4,6,9,5318.6826171875,279.9306640625,783.7374267578125,215.0089874267578,99.71100616455078,49.8909912109375,28.70947265625,374.29345703125,0.08836839904877136
7,7,False,12,nue,1.8129194974899292,-0.7689375117139995,0.24080442336212382,0.5922400972311129,103.93402293187918,3134.747174289338,0.38878663320233736,-0.028000361560856172,0.8847755328404983,0.4651754897232589,152.22391094345173,11289.797631772079,24,25,0,2,0,20,2,,,237,188,False,False,False,144,50,50,44,33424.5546875,232.11495971679688,2893.75537109375,412.50042724609375,137.37168884277344,515.074951171875,271.9186096191406,704.4808959960938,0.34909054752103563
8,8,True,14,numu,0.5442562103271484,-0.8118024144078851,0.5392710007734912,-0.2239723815256823,122.63402648939454,6900.2743487188,35.814904711428206,-0.0008587557446572827,-0.9999559428987413,-0.009347448853030049,0.5378326761928869,16.500725095736016,9,11,1,4,0,2,2,13.0,0.26699987053871155,205,164,False,False,False,303,76,102,125,103967.6171875,343.12744140625,1919.9775390625,59.182151794433594,17.239910125732422,233.34800720214844,202.69741821289062,177.49562072753906,5.119786807557389
9,9,False,14,numu,0.9259642362594604,0.5054236535459081,-0.7917671103518555,0.3430040428353264,37.64904129801978,20.82346267253797,0.25019606666789435,0.8533685882748047,0.5211913224715874,-0.011029865193403834,121.41219702780674,6671.005585966679,9,10,0,1,0,8,0,,,1259,1006,False,False,False,378,115,147,116,70573.1015625,186.70132446289062,1018.6529541015625,171.36192321777344,27.096071243286133,110.16998291015625,105.94091796875,131.60943603515625,2.2058575960286277
10,10,True,14,numu,0.5260024070739746,-0.6394654858227371,0.25957746370527013,0.7236735678314015,105.04499182066839,3369.2244310784154,0.43298769108307866,-0.7590168499177212,0.4258053311071108,0.4925274018181558,115.20164889628096,5462.860767587994,3,5,1,1,0,1,0,13.0,0.28120073676109314,84,59,False,False,False,244,46,114,84,127267.28125,521.5872192382812,5831.53662109375,72.0882568359375,21.737001419067383,13.891021728515625,41.069580078125,32.66899108886719,3.384739910625234
11,11,True,14,numu,0.9227283000946045,-0.8891758114656637,0.4547755966271875,-0.05045327558012564,117.0504966518774,5829.489955699751,0.9443417256392966,-0.8409483168956479,0.52694415134134,-0.12302759721920861,121.79921500899034,6743.949628456812,3,6,1,1,0,1,0,13.0,0.8174480199813843,189,163,True,False,False,302,116,47,139,75639.046875,250.46041870117188,1325.6622314453125,152.57330322265625,43.27699279785156,40.23602294921875,22.8682861328125,38.2694091796875,1.9793764283865538
12,12,False,16,nutau,0.2512167990207672,-0.02184901478360465,-0.6755915312611098,0.7369523074400777,47.499897135912875,24.385580069135358,0.3869283865287638,0.3567833571762234,-0.5296730184961577,0.7695142165803257,58.01663533233913,31.048770884294754,1,2,0,1,0,0,0,,,37,26,True,False,False,24,8,5,11,14748.9052734375,614.5377197265625,2039.8194580078125,1.6976470947265625,0.5652230381965637,3.35296630859375,1.866790771484375,4.66705322265625,14.137213838230403
13,13,True,12,nue,2.9626269340515137,0.18184530716107955,-0.9035908499329558,-0.38788640112915956,25.365842061067934,18.25517759264676,2.7769286102387905,0.13034934161129386,-0.962582501136185,-0.2375794133503756,15.723114543182396,17.1396331364449,8,36,1,1,0,6,0,11.0,0.3022642433643341,6152,5213,True,False,False,2664,609,1173,882,815438.375,306.0954895019531,6856.125,123.57562255859375,18.91383934020996,199.3389892578125,367.20947265625,284.22027587890625,21.55764984098588
14,14,False,-12,nue,0.7114042043685913,-0.792199533205508,0.5923144416064128,-0.14691324601089834,126.32142058873912,7573.284223752047,0.8513579225426939,-0.770566750710868,-0.27797313405023394,-0.5735484455956495,73.86072780830695,58.46970105425862,7,13,0,1,0,6,0,,,85,66,False,False,False,122,34,44,44,51294.95703125,420.4504699707031,4514.35302734375,131.72457885742188,31.726160049438477,96.75801086425781,103.60739135742188,99.8738021850586,0.926174910242471
15,15,True,12,nue,0.6273351907730103,-0.5514148198832258,0.5100213187918843,-0.6601666083580241,120.6652497867082,6529.395155328139,37.86935840364455,0.024443771695174858,-0.9996741433920581,0.007355885988031131,1.4627250205741824,16.505364483290577,14,17,2,2,0,9,1,11.0,0.2055995762348175,901,722,False,False,False,641,181,239,221,137702.3125,214.82420349121094,2454.021240234375,170.4840850830078,39.653785705566406,72.80801391601562,90.53980255126953,77.47222900390625,3.7598817490084215
16,16,False,12,nue,0.25169697403907776,-0.9081843986744005,0.3695711679068295,0.19651526621715626,111.68917253387569,4752.254665099957,0.004355386978013215,-0.8230469760443742,-0.348278574331761,0.4486599044773752,69.61793887571974,46.94059903750349,7,8,0,0,0,7,0,,,745,652,False,False,False,375,117,126,132,64563.73046875,172.16995239257812,761.9616088867188,375.6186218261719,56.574180603027344,263.0460205078125,340.9979248046875,232.80699157714844,0.9983530586871219
17,17,True,14,numu,1.8299551010131836,0.07683292270957631,0.4548831195470485,0.8872305503864538,117.05741418781199,5830.851261205804,1.5634076727868111,0.32800844387666483,0.5489530734887254,0.7688049062362251,123.29521904602758,7023.080927051626,14,18,1,3,0,10,0,13.0,1.6375764608383179,4720,4069,False,False,False,2728,1007,1357,364,595194.625,218.1798553466797,2416.349609375,313.18975830078125,64.24436950683594,518.906982421875,740.9598388671875,386.50860595703125,8.71037423062884
18,18,True,12,nue,2.4075796604156494,-0.5131346340255047,0.8566491906253895,0.05333864981771269,148.94241063170497,10932.106116493294,1.3601396058418933,-0.36263556880613523,0.9204693654535727,-0.14571064305035522,156.99479669029088,11743.780711088884,37,61,1,4,2,28,2,11.0,0.9583094120025635,2253,1971,False,False,False,1481,426,556,499,394522.5625,266.3893127441406,4394.56982421875,237.75656127929688,41.6033935546875,277.416015625,247.5006103515625,290.90380859375,6.229060481154263
19,19,False,12,nue,0.9075796604156494,0.7965959493720918,0.5360395051952974,-0.2794575858944546,122.41443559051208,6859.29056830299,1.6306581435179637,0.4243355568768688,-0.9001080151526651,0.09871624095318493,25.827731019606375,18.325588673242237,6,8,0,2,0,3,1,,,81,63,False,False,False,120,32,58,30,72868.6484375,607.2387084960938,4145.2734375,46.99360656738281,12.20566463470459,28.739990234375,16.8011474609375,16.80126953125,2.5535388484800667
20,20,False,12,nue,1.0790424346923828,-0.017775711420267785,-0.868775051232529,-0.49488779984903664,29.683396915329343,18.984292903075584,0.40588282069057485,0.5950726656585358,-0.8029476512337712,-0.034111463823981156,36.587488555260954,20.534676710452914,15,16,0,1,0,14,0,,,678,567,False,False,False,490,138,165,187,101928.78125,208.01791381835938,2163.2763671875,165.33863830566406,38.78073501586914,69.530029296875,95.8231201171875,69.22119140625,2.9636145853223343
21,21,False,-12,nue,0.45488473773002625,0.7399537283345469,0.5415172687562312,-0.3990332411749618,122.78698575105649,6928.764141808604,0.12554076751865662,-0.027583084197461086,0.9977048367324967,0.061840376993822624,176.11735644315596,12726.29977403668,6,7,0,1,0,5,0,,,26,22,False,False,False,25,8,9,8,2662.917236328125,106.51669311523438,241.94252014160156,33.5682373046875,8.241304397583008,95.39599609375,84.47271728515625,95.82313537597656,0.7447516464175191
22,22,True,14,numu,2.747441053390503,0.19312789433099048,0.8546910382062696,-0.48187638004073907,148.725618762841,10907.205164968931,2.536468605737518,0.2526093567963027,0.8279914249447178,-0.5006183307440648,145.8929582575711,10567.698711504596,4,12,1,1,0,2,0,13.0,1.7785481214523315,6712,5375,True,False,False,2668,951,501,1216,642759.625,240.91439819335938,4305.6376953125,212.02310180664062,51.6169548034668,357.4090270996094,176.56222534179688,448.1816101074219,12.583534422740142
23,23,False,-16,nutau,0.10097268968820572,-0.6981261443970906,0.6844267681253794,0.2101901177094219,133.1905423722221,8742.985126661377,0.20496179688267555,0.011221579042595974,0.9893872753464374,-0.14486854574525018,171.6452027451467,12620.481024266432,11,85,0,3,3,5,0,,,24,14,False,False,False,20,7,6,7,3285.23193359375,164.2615966796875,550.6783447265625,38.94297790527344,17.30052375793457,19.15997314453125,26.13519287109375,11.200820922851562,0.5135714081406115
24,24,False,12,nue,56.48380661010742,0.48980686715082744,0.7840392433876111,-0.3812764059315422,141.63190713413337,10008.903773790786,,,,,,,6,315,0,0,4,2,0,,,19929,0,False,False,False,14974,3529,4456,6989,5095364.5,340.2807922363281,24613.93359375,248.29440307617188,31.66661834716797,525.134033203125,473.31488037109375,612.526123046875,60.30744074165163
25,25,False,-16,nutau,0.3520351052284241,0.03409141419015592,0.699619392977409,0.7137019549142604,134.39647581696053,8936.004004846869,0.006406629233072423,0.699513975331073,0.049756378545871144,0.7128846338016545,92.85200810578836,874.5127960788038,11,12,0,1,0,8,2,,,49,36,False,False,False,48,15,17,16,5755.0244140625,119.8963394165039,362.62646484375,101.71268463134766,25.99090003967285,806.3820190429688,655.2289428710938,473.21600341796875,0.47191754080598214
26,26,False,14,numu,0.1953974813222885,0.41190817916904887,-0.673327452626397,0.6139721438903281,47.67559840311503,24.467112763982186,0.21584545045348424,0.0,-0.9805400595713789,-0.19631910649693973,11.321792429369316,16.82659004531888,1,2,0,1,0,0,0,,,21,16,True,False,False,24,3,10,11,6327.04296875,263.6268005371094,713.7698364257812,655.053466796875,322.9087219238281,0.9580078125,374.2934265136719,374.76007080078125,0.03663823064299901
27,27,False,12,nue,0.32201436161994934,-0.7117165598035448,0.21727917684838596,0.6680189352177789,102.54927604251543,2841.975576966477,0.3675009224996798,-0.0006823724438847445,-0.9999997506574756,-0.00018180438498690996,0.04046092574566175,16.50000410352277,2,3,0,1,0,1,0,,,10,8,True,False,False,31,3,18,10,29238.12890625,943.1654663085938,2421.37841796875,202.67799377441406,67.04730224609375,9.10101318359375,518.7445068359375,157.5186767578125,0.15295197777862266
28,28,False,12,nue,0.4630967676639557,-0.16881028330990605,-0.389914758570824,-0.9052455850748377,67.05080446437675,42.016340350185146,0.4961256113223227,0.00789162332362537,0.9999363700135152,0.008060905998248139,179.3536453930772,12754.690464850632,11,12,0,2,0,9,0,,,56,41,False,False,False,57,15,23,19,15954.6416015625,279.906005859375,1749.378173828125,42.086578369140625,15.181275367736816,129.80902099609375,184.34649658203125,61.1376953125,1.3543510118606938
29,29,True,-12,nue,2.210218667984009,0.24310611237526603,-0.17786562407595805,-0.9535529549520858,79.75453694169786,89.36243605275195,2.019430430907955,0.08699786932161355,0.08291998806064581,-0.9927515531660083,94.75642665585058,1227.7426942195125,24,25,1,0,0,23,0,-11.0,2.0258827209472656,12411,10339,False,False,False,1628,542,521,565,278193.46875,170.88050842285156,980.9339599609375,582.0107421875,30.843320846557617,338.323974609375,853.67529296875,587.6414184570312,2.7971992301742175
30,30,False,14,numu,0.24922850728034973,-0.193435667971572,0.4431845176981132,0.8753114449320782,116.30724311515206,5682.7633818562845,0.1619486809675118,-0.05023274425567773,-0.925135353139805,-0.3762994150612408,22.311226059029458,17.831349740488804,9,10,0,1,0,7,1,,,62,42,False,False,False,56,14,23,19,6852.0029296875,122.35719299316406,325.609375,240.71575927734375,73.02951049804688,285.155029296875,50.7862548828125,412.79345703125,0.2326395254225083
31,31,False,14,numu,0.5106949806213379,-0.23363773458949327,-0.8174937148144473,0.5264194479830363,35.16531371984496,20.170715825955085,0.387570819166292,-0.22387662029602926,-0.9127240990807984,-0.3417805989841619,24.115441204840266,18.073074615498626,1,2,0,1,0,0,0,,,30,22,True,False,False,21,6,11,4,14186.30859375,675.5385131835938,1803.5616455078125,1.61883544921875,0.5198851227760315,2.394989013671875,4.6669921875,1.4001007080078125,12.972288202692003
32,32,True,-14,numu,0.9417659640312195,-0.5940492323904828,0.5220692798998693,0.6120042291366214,121.47115733335276,6682.137327763692,0.8426338456860616,-0.33102535948432005,0.5363055546451851,0.776401032608147,122.43249430248409,6862.66468639702,6,7,1,1,0,4,0,-13.0,0.8553240299224854,2166,1499,False,False,False,1198,442,557,199,242840.625,202.7050323486328,974.7278442382812,146.77964782714844,27.56617546081543,213.70901489257812,259.16815185546875,96.75652313232422,8.16189449787205
33,33,False,-16,nutau,3.989654302597046,0.27809554987405694,0.9401549109887848,-0.19690507480488148,160.0775879768651,11994.180732965444,0.0017950545297935607,-0.9947639778605158,-0.08796724346064011,-0.05202299903945825,84.9533251601257,163.85428533919116,1,2,0,0,0,1,0,,,6,4,True,False,False,10,2,3,5,580.8731079101562,58.087310791015625,90.50872039794922,373.48291015625,186.72555541992188,0.4790000915527344,36.17668151855469,373.82672119140625,0.026774986828223032
34,34,True,-14,numu,2.0805211067199707,0.42502856661369404,0.39915000520713195,-0.8124222983802545,113.52505194813939,5125.831740505572,1.3301880543471893,0.2073689670698751,0.43815159850954954,-0.8746549538074425,115.98600520247062,5619.068841018856,4,5,1,0,0,3,0,-13.0,1.3725383281707764,231,198,True,False,False,162,48,42,72,48028.5390625,296.47247314453125,2057.31494140625,209.09710693359375,57.53004837036133,121.66600036621094,160.5447998046875,58.337493896484375,0.7747596433816222
35,35,False,14,numu,0.463665246963501,-0.4972927264966549,0.7538825744266652,0.4293728078830178,138.92782715304168,9625.575379950149,0.19150374696567457,0.015742572533520568,0.9913819311375107,-0.13005398119275968,172.47242653791645,12645.85747959165,7,8,0,1,0,6,0,,,62,47,False,False,False,45,15,15,15,5348.40673828125,118.85348510742188,410.9596862792969,96.78692626953125,27.7626953125,540.4620361328125,435.7303466796875,437.1304931640625,0.4649388273234802
36,36,False,-14,numu,1.079605221748352,0.4333746325614264,0.8047632935569244,-0.40563834778736096,143.58740147600824,10272.368129290186,0.6241316409555375,0.24977988601608486,0.9678489541363651,0.029637991142047255,165.4318069495551,12346.474454165527,3,4,0,1,0,2,0,,,683,587,True,False,False,439,135,165,139,119531.859375,272.2821350097656,1690.93115234375,104.58213806152344,21.85272789001465,123.10299682617188,115.27490234375,93.80670166015625,4.1976575363351785
37,37,True,14,numu,1.6853634119033813,0.612731132005137,-0.21833656897846862,-0.7595325552722634,77.38864954444264,73.71558656157208,36.91762843850618,0.015726605110663667,0.9977823740309846,-0.06467617772244799,176.18352808514936,12727.286239866622,8,39,1,1,1,4,1,13.0,0.5144992470741272,3379,2810,False,False,False,1610,557,577,476,330047.34375,204.99835205078125,2546.09375,292.5517883300781,49.20614242553711,242.927978515625,226.032470703125,169.09503173828125,5.503299122490686
38,38,True,-12,nue,33.169490814208984,0.5048305853799324,-0.8030003058975327,-0.31675951255396234,36.58242677889275,20.533335586456815,,,,,,,76,486,1,14,3,53,5,-11.0,11.382448196411133,51080,0,False,False,False,17397,4408,6949,6040,6496217.5,373.41021728515625,21113.021484375,697.446533203125,57.64833450317383,1343.9700927734375,1347.560791015625,845.0770263671875,24.94384755215821
39,39,True,14,numu,3.021118640899658,0.3589004121830034,-0.40266851934382303,0.8420502108926305,66.25489315008511,40.706673054948624,2.4527544053841637,0.5294377585310369,-0.261181479896844,0.8071430445717327,74.85982147238019,62.09733058819711,21,30,1,8,0,11,1,13.0,2.2161238193511963,4616,4524,False,False,False,4207,1488,1226,1493,889849.25,211.51634216308594,2679.394287109375,636.7702026367188,191.42945861816406,819.3150024414062,552.3976440429688,778.5950317382812,6.606778995907444
40,40,False,-12,nue,0.24298375844955444,-0.821432294773418,-0.4559276011731205,-0.34260619899791733,62.87536638378316,36.013525063609904,0.08238601675741511,0.003386125489174864,-0.9981068838769175,-0.06140995449991204,3.5261013852168936,16.53121457193629,15,16,0,1,0,14,0,,,98,77,False,False,False,89,30,29,30,10468.41015625,117.62258911132812,427.4231872558594,148.56680297851562,41.57356262207031,53.64801025390625,54.13720703125,36.86932373046875,0.5990571124618624
41,41,False,14,numu,0.10883524268865585,0.13280505141435744,0.9179810079768701,0.37372943062140485,156.6326812882773,11712.129955998522,0.29807004033342854,0.0,0.9998389430487648,-0.017946809274320852,178.97166836560996,12753.450946496989,2,3,0,2,0,0,0,,,39,27,False,False,False,33,3,10,20,18589.02734375,563.3038330078125,1940.6025390625,575.5833740234375,287.47625732421875,0.9580078125,16.093719482421875,389.4537353515625,0.05733313623936652
42,42,True,14,numu,0.36480051279067993,-0.2578355543725737,0.8670765935078688,-0.42626166598953913,150.12067767959823,11064.710077134612,0.5399987293691838,-0.26293788519321637,0.7017496445656002,-0.6621262001176006,134.56754732705963,8963.07015719965,3,6,1,2,0,0,0,13.0,0.16996821761131287,229,194,True,False,False,152,38,61,53,68537.0703125,450.9017639160156,4007.375,30.76721954345703,5.355254173278809,81.90899658203125,132.07611083984375,21.00152587890625,4.94032292340581
43,43,False,12,nue,1.002393126487732,0.9608596060053664,-0.007325450940934746,0.27693890177388203,89.58027882413475,414.47268526811297,0.5959590061919119,0.7885039985667757,-0.5794934685093656,0.20603097873667237,54.585076204678984,28.400758010019672,5,6,0,1,0,4,0,,,39,28,False,False,False,71,15,23,33,46862.39453125,660.0337524414062,3324.821044921875,70.95455932617188,18.890169143676758,81.42999267578125,41.069610595703125,91.00650024414062,1.0006404193650085
44,44,True,-14,numu,1.5742098093032837,-0.023575803299721688,-0.9996926355462552,0.0076691546701844636,1.4206123145567342,16.50505995905496,2.0848060606000662,-0.05243270302854286,-0.9976697461758461,-0.04365649113869734,3.9122231234233515,16.538439069635388,17,19,1,3,0,11,2,-13.0,1.0138459205627441,574,534,False,False,False,1319,121,590,608,442293.09375,335.3245544433594,10000.517578125,237.66207885742188,59.10055160522461,303.76092529296875,353.4415283203125,317.03887939453125,5.549896754001272
45,45,False,12,nue,1.4096500873565674,-0.8094190043827474,0.31538208059166795,-0.49535342795393317,108.38388118487983,4069.3717940621236,0.6056515706055402,-0.4615966623371468,0.05499410429019906,-0.885383628611081,93.15252049272911,927.4896720391766,18,19,0,6,0,12,0,,,995,830,False,False,False,549,156,198,195,145841.6875,265.64971923828125,3656.074462890625,114.78291320800781,22.84120750427246,148.0860137939453,135.95932006835938,130.35894775390625,4.782941856555868
46,46,False,14,numu,2.040886878967285,0.80387149685393,-0.5821252849245904,0.12215060047861606,54.399836887949924,28.27333067424206,37.983197939738204,0.049990212322741805,-0.9987395352705829,0.004507700015211316,2.8770579352646584,16.52077000994359,7,43,0,2,1,3,1,,,1550,1412,True,False,False,1494,393,467,634,418384.5625,280.043212890625,3401.55615234375,201.00640869140625,36.100711822509766,593.6310424804688,566.4063720703125,510.8690185546875,7.43259883964025
47,47,True,-12,nue,0.3202652633190155,0.03481025281312974,0.8992840593578235,0.43597755318823517,154.0641190293924,11474.321957812524,0.21564895041341756,-0.39841392573377665,0.7655673766934337,0.5051464495808466,139.9574947975188,9774.09582648861,18,19,1,1,0,15,1,-11.0,0.14455625414848328,443,376,False,False,False,336,102,108,126,58214.8125,173.2583770751953,852.1196899414062,229.49017333984375,32.43992614746094,247.239013671875,117.6083984375,349.7079162597656,1.4641149776048565
48,48,True,14,numu,0.8197316527366638,0.19099422646418357,0.687815871510784,-0.7003074555901921,133.457463881389,8786.040947739835,0.848564271554235,0.47105455628364706,0.47882960289563703,-0.7408304909999472,118.6089894022967,6134.120973063547,16,18,1,3,0,12,0,13.0,0.2210526466369629,389,298,False,False,False,373,116,99,158,140768.46875,377.3953552246094,8043.2724609375,430.5762939453125,70.88578796386719,267.83599853515625,115.67300415039062,422.6704406738281,0.866280854856758
49,49,False,14,numu,0.19475670158863068,-0.8955401831324529,-0.41842281102404427,-0.1514269844176715,65.26494706294372,39.1966374388071,0.38065645549532107,-0.830749125783593,-0.22768107014113864,0.5079539549104642,76.83941500630544,70.83376853263258,2,3,0,1,0,1,0,,,26,19,True,False,False,27,8,9,10,16246.4072265625,601.7188110351562,1581.3123779296875,91.90213012695312,42.337215423583984,64.66497802734375,26.601898193359375,79.3389892578125,0.2937907963907076
50,50,False,-14,numu,1.0187515020370483,-0.33106860249226927,-0.3336861569955437,-0.8826364648445935,70.50733637562848,48.94807280417399,31.60040274914335,-0.0007697679787061081,0.9999910544435268,-0.004159145366828921,179.75765077521146,12755.386189777713,26,37,0,2,2,20,2,,,708,527,False,False,False,333,109,135,89,63102.0703125,189.49571228027344,1213.02490234375,263.31561279296875,84.96988677978516,357.96307373046875,383.92657470703125,229.44891357421875,1.2646420638255902
51,51,False,16,nutau,0.11720427125692368,-0.8275153408857002,-0.4957883714005223,0.2634620492269071,60.278250116349085,33.14944598625516,0.17075622005330404,-0.04749716986414185,-0.9981158685931596,-0.03884239587640577,3.517721371419525,16.531066149226717,25,26,0,1,0,23,1,,,169,133,False,False,False,147,49,50,48,19071.21875,129.73617553710938,630.9201049804688,234.23731994628906,70.51792907714844,204.12899780273438,131.60943603515625,217.63182067871094,0.6275686557279058
52,52,True,12,nue,0.24612747132778168,-0.9677930929395153,0.17609311155368243,-0.1799103813622469,100.14227671492397,2333.445422408826,0.1391162730336085,-0.28489750381606604,-0.12581082192605325,-0.9502657782987166,82.77241787609739,122.02807912199944,6,7,1,2,0,3,0,11.0,0.17570094764232635,805,679,False,False,False,336,116,138,82,64381.90625,191.61282348632812,1294.6627197265625,63.30712890625,11.247549057006836,148.56494140625,158.36090087890625,117.7579345703125,5.307459140937734
53,53,False,12,nue,0.192806214094162,-0.8802487493096577,0.46628178281517996,0.08799680876873198,117.79320841611147,5975.186922658102,0.33985231796203025,-0.40686315024916914,0.8492431035346071,-0.3365241864535604,148.12944034694183,10837.927268726376,3,4,0,1,0,2,0,,,34,26,True,False,False,32,9,10,13,12604.4697265625,393.8896789550781,1708.0965576171875,29.701385498046875,10.721442222595215,15.3280029296875,6.5337982177734375,27.535308837890625,1.0773908174116753
54,54,False,-16,nutau,0.5086256265640259,-0.3862363798737021,0.038055583812862795,0.9216144700484685,92.1809509743985,761.2602509029205,1.882196866912745,-0.0029765536268639317,-0.00019176559547616828,-0.9999955516673376,89.98901264065606,457.5456380318923,11,12,0,0,0,10,1,,,62,42,False,False,False,62,18,23,21,6588.99072265625,106.27404022216797,438.3028869628906,234.2955780029297,58.631256103515625,391.97198486328125,270.5185546875,366.65875244140625,0.2646230053869166
55,55,False,12,nue,5.939355373382568,-0.3264226455335931,-0.13249636832621509,-0.9358915369118445,82.38612819089158,116.63352439240782,0.4301736701686772,0.04939053861996599,-0.9976754766926665,-0.046949099042367916,3.9074078616652694,16.53834432160147,9,15,0,1,1,7,0,,,4069,3441,False,False,False,594,212,272,110,147936.375,249.05113220214844,2815.451416015625,68.6598892211914,8.878851890563965,113.5980224609375,170.0284423828125,70.4717025756836,8.651339329814501
56,56,True,12,nue,68.7271728515625,0.30294852660218174,0.09185879694480521,-0.9485695291613684,95.27055136019554,1328.6007935998987,,,,,,,69,189,1,9,2,54,3,11.0,53.946868896484375,103947,0,False,False,False,15200,2734,5691,6775,11439392.0,752.591552734375,33080.12109375,482.8428039550781,31.499038696289062,1153.73193359375,1176.6824951171875,1004.9368286132812,31.480224776041503
57,57,False,14,numu,0.6165062785148621,0.9132458807290634,-0.40721289606042904,0.012634026020055705,65.97012687814686,40.259379833837556,0.004103181418031454,-0.28289533626494273,-0.09625497532800828,-0.9543087594925186,84.47644434993394,152.64053123339318,2,3,0,0,0,2,0,,,148,135,False,False,False,165,52,57,56,20348.615234375,123.32494354248047,953.5774536132812,609.0532836914062,138.63914489746094,484.89801025390625,404.46142578125,461.3302307128906,0.27091225746284925
58,58,True,14,numu,2.009629487991333,0.9681356938672055,-0.2043114170143086,0.1448106458029578,78.21080696745005,78.4962798407962,1.1357098769710237,0.9380583845391003,-0.12738685715876188,0.32220964575739636,82.68138525023275,120.71479049291861,20,24,1,4,0,13,2,13.0,1.2742819786071777,1956,1732,False,False,False,2133,702,585,846,455939.125,213.75486755371094,2975.439453125,374.9761657714844,95.47713470458984,323.3999938964844,229.7659912109375,353.9082336425781,5.688361540556899
59,59,False,-14,numu,2.4103622436523438,-0.15958179620912108,0.05318559861584449,0.9857509535468605,93.04874882186722,909.0532552304815,2.763567437115942,-0.20803714279742752,-0.008346200159494577,0.9780853174235775,89.52179240386492,408.6741895137877,7,12,0,1,1,5,0,,,1528,1146,True,False,False,611,223,204,184,129878.25,212.5666961669922,3083.88623046875,77.75390625,12.551065444946289,132.2039794921875,73.7386474609375,151.677490234375,7.858126098970108
