instance_id,event_id,is_cc,nu_pdg,nu_flavour,nu_energy_truth,nu_dir_truth_x,nu_dir_truth_y,nu_dir_truth_z,zenith_truth_deg,L_truth_km,nu_energy_reco,nu_dir_reco_x,nu_dir_reco_y,nu_dir_reco_z,zenith_reco_deg,L_reco_km,n_primaries,n_total_particles,n_primary_leptons,n_primary_protons,n_primary_pions,n_primary_photons,n_primary_other,leading_lepton_pdg,leading_lepton_energy,n_points_raw,n_points_filtered,direction_recon_ok,is_ccqe_topology,is_ccqe_reconstructed,n_hits,n_hits_w,n_hits_v,n_hits_u,total_adc,mean_adc,max_adc,drift_range,drift_std,channel_range_w,channel_range_v,channel_range_u,hit_density
190,93,False,-14,numu,0.3884076178073883,0.25728142636828916,-0.20243333341346004,0.9448952392561906,78.32071006378803,79.18256959833525,36.17000702803424,-0.00010214722463083934,0.9690055308939133,-0.24703900635921838,165.6976340026734,12361.187795128739,18,19,0,3,0,14,1,,,85,67,False,False,False,78,25,27,26,11007.978515625,141.1279296875,894.0921630859375,152.80862426757812,25.06621742248535,117.83401489257812,95.206787109375,133.009521484375,0.5104423940327921
191,94,True,-12,nue,1.8962690830230713,-0.07597897054853117,-0.8334557840456867,-0.5473377860838544,33.5446153848125,19.785861282898622,1.839273350984017,-0.10544878333025719,-0.8492257246328399,-0.5173936825242424,31.8724454627681,19.419768783344807,2,18,1,0,1,0,0,-11.0,1.6310415267944336,10070,8416,True,False,False,1755,527,847,381,519388.3125,295.94775390625,5414.91943359375,244.80923461914062,22.572031021118164,190.238037109375,237.45916748046875,168.0120849609375,7.168847215793647
192,95,True,14,numu,3.0889110565185547,-0.18289436210398805,-0.9831313810351335,-0.001529684453230195,10.538766612856257,16.78235749686246,39.08219452371322,-0.02542379715423377,-0.9996480352975963,0.007578658450937136,1.520197187826069,16.505794444059575,24,25,1,4,0,18,1,13.0,2.8228015899658203,870,809,False,False,False,1621,138,735,748,418096.125,257.9248046875,6235.4658203125,449.5530090332031,84.17450714111328,145.6909942626953,325.673095703125,349.39849853515625,3.605803915062386
193,96,True,12,nue,0.8529369235038757,-0.9612973845414158,0.12938085322364676,0.24324459560893558,97.4338156681486,1767.2733494500624,0.7742190830137686,-0.9407746355797654,0.33161843103804906,-0.07051454634061063,109.36703713601966,4273.733536547921,4,29,1,3,0,0,0,11.0,0.16100649535655975,797,736,False,False,False,516,163,199,154,147730.59375,286.2995910644531,7462.6142578125,205.5603485107422,33.5279541015625,123.65704345703125,171.4285888671875,118.54180908203125,2.5102117394641157
194,97,True,12,nue,0.11318697780370712,-0.7309335290599589,-0.6737052285378148,-0.10889187819468008,47.64631569709342,24.453470748053405,0.2702815892778377,-0.03878188088298624,-0.8644954042466285,0.5011423567726402,30.174863131234666,19.077950125095413,5,6,1,1,0,3,0,11.0,0.05524204298853874,328,269,False,False,False,113,35,54,24,24429.8671875,216.19351196289062,1674.8583984375,57.83642578125,8.38270092010498,61.31201171875,96.14019775390625,28.46868896484375,1.953786017610955
195,98,False,14,numu,0.1596539169549942,-0.5860763431431311,0.46836281257912293,0.6611738015083085,117.92807553842927,6001.542479013067,0.011659249112817682,-0.8269775950248756,-0.34289317330532915,0.4455696679841148,69.94675982394192,47.66220892901265,7,8,0,0,0,7,0,,,38,26,False,False,False,35,11,13,11,3758.36376953125,107.38182067871094,259.5152893066406,60.587493896484375,14.671272277832031,187.7679901123047,208.53140258789062,102.60537719726562,0.5776769717492952
196,99,True,12,nue,0.5058547854423523,0.7061213121746581,-0.46235181371595224,0.5363054100475851,62.4610298288902,35.51913441571514,0.3778360772864528,0.5996788640349932,-0.3530085546568009,0.7181714421841185,69.32855743728038,46.324418733534,10,11,1,1,0,8,0,11.0,0.4368245601654053,1162,1039,False,False,False,590,180,166,244,131153.734375,222.29446411132812,1364.30712890625,88.10946655273438,16.763456344604492,150.48101806640625,83.68896484375,161.1611328125,6.69621577662009
197,0,True,14,numu,13.794499397277832,-0.21821832867604327,-0.1071567000920804,0.969999073533171,83.84856243684331,139.8517020815126,,,,,,,65,262,1,9,5,45,5,13.0,6.6150665283203125,28445,0,False,False,False,9189,3272,2817,3100,1998710.625,217.51121520996094,8064.79345703125,712.3272705078125,123.8704833984375,1047.947998046875,965.4169921875,865.783935546875,12.899969410758674
198,1,False,14,numu,0.6047887802124023,-0.6448371418713985,0.3972064228983904,0.6530023874928719,113.40365424249437,5101.270140353609,0.5477486099938323,-0.025026256929009914,0.916409688683961,0.39945834444944145,156.4067214369152,11692.143636909914,1,3,0,1,0,0,0,,,386,296,True,False,False,62,22,34,6,35128.6953125,566.5918579101562,4188.01171875,1.244354248046875,0.29993903636932373,10.0589599609375,15.401123046875,1.86676025390625,49.82503985285101
199,2,True,14,numu,1.2574468851089478,0.3236744491892266,-0.23203561602856476,0.917275489608381,76.5830533472816,69.56472799592098,35.94368591112712,-0.01598390457210953,-0.999847084160913,-0.007093876905474836,1.0020038741206987,16.502516975583603,43,46,1,7,0,33,2,13.0,0.4640613794326782,558,429,False,False,False,736,217,302,217,195782.296875,266.008544921875,3757.891845703125,280.1524353027344,57.20193862915039,174.35595703125,166.14520263671875,187.146728515625,2.6271411819235984
200,3,True,-12,nue,1.630979061126709,0.6574463281876095,0.750620039155961,-0.0658322289622166,138.6441161728676,9584.108545914023,1.4688299462859673,0.7652000177312058,-0.5451986439685077,0.34238482951068777,56.961760690453325,30.172320533658876,12,27,1,3,1,5,2,-11.0,1.2391122579574585,2703,2411,False,False,False,1232,299,400,533,401649.4375,326.01416015625,6578.6865234375,341.2206115722656,41.86725997924805,151.84300231933594,163.34500122070312,184.105712890625,3.610567352081192
201,4,True,-12,nue,19.94198226928711,0.5219550073407754,-0.045931238955453806,-0.851735458695896,87.36740765213666,251.55174712349947,,,,,,,45,215,1,5,1,37,1,-11.0,0.7893175482749939,51769,0,False,False,False,14443,4116,5001,5326,4683496.5,324.2745056152344,9327.4755859375,687.8524169921875,48.117523193359375,739.8009643554688,573.0974731445312,801.2225341796875,20.99723667928035
202,5,True,14,numu,0.27135080099105835,-0.6257005159929591,-0.5895777949202922,-0.5107806652792086,53.87294702940123,27.91859793230242,0.22626892429737322,-0.2117345887677424,-0.903166278030629,0.3734422822172868,25.422567100319043,18.263732066548982,3,8,1,1,0,1,0,13.0,0.20249052345752716,292,207,True,False,False,156,58,68,30,46954.90625,300.99298095703125,1776.12744140625,66.82307434082031,11.723064422607422,91.0849609375,96.75653076171875,40.13623046875,2.3345229404493897
203,6,True,14,numu,24.801973342895508,0.25238184223082366,-0.9271130007524304,-0.2770647750039684,22.010834498974006,17.7934276354581,,,,,,,7,417,1,2,3,1,0,13.0,7.385072708129883,19525,0,False,False,False,12238,2973,5553,3712,3521773.0,287.7735595703125,7119.5283203125,620.2935791015625,64.27080535888672,670.345947265625,865.867919921875,498.26806640625,19.729367532266906
204,7,True,14,numu,0.9721792936325073,0.47245678330823215,-0.02229976470984231,-0.8810716817603003,88.72221168007538,338.21225330861444,0.9188558456554126,0.730488634815756,-0.5687773981808342,-0.37799289110200723,55.334986057349504,28.931642767734047,3,6,1,1,0,1,0,13.0,0.709385097026825,7188,5364,True,False,False,773,238,205,330,226651.140625,293.2097473144531,2933.353515625,272.2413330078125,81.2197036743164,54.68098449707031,53.20379638671875,85.78163146972656,2.8393925031869323
